pair_id,citing_official_year,citing_query_doi,citing_resolved_doi,citing_title,citing_pdf_path,citing_note_path,cited_official_year,cited_query_doi,cited_resolved_doi,cited_title,cited_pdf_path,cited_note_path,matched_reference_count,match_type_breakdown,matched_reference_evidence_json
10.1509_jmkr.39.1.87.18936__cites__10.1509_jmkr.37.3.363.18779,2002,10.1509/jmkr.39.1.87.18936,10.1509/jmkr.39.1.87.18936,"Hierarchical Bayes versus Finite Mixture Conjoint Analysis Models: A Comparison of Fit, Prediction, and Partworth Recovery",data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.1.87.18936.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.1.87.18936.json,2000,10.1509/jmkr.37.3.363.18779,10.1509/jmkr.37.3.363.18779,Internet Recommendation Systems,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.3.363.18779.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.3.363.18779.json,1,"{""doi"": 1}","[{""reference_index"": 4, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.3.363.18779"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.39.2.155.19084__cites__10.1509_jmkr.37.1.60.18718,2002,10.1509/jmkr.39.2.155.19084,10.1509/jmkr.39.2.155.19084,Earning the Right to Indulge: Effort as a Determinant of Customer Preferences toward Frequency Program Rewards,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.2.155.19084.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.2.155.19084.json,2000,10.1509/jmkr.37.1.60.18718,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.60.18718.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.1.60.18718.json,1,"{""doi"": 1}","[{""reference_index"": 12, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.1.60.18718"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.39.2.171.19089__cites__10.1509_jmkr.37.1.60.18718,2002,10.1509/jmkr.39.2.171.19089,10.1509/jmkr.39.2.171.19089,Developing Synergies between Promotions and Brands in Different Price-Quality Tiers,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.2.171.19089.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.2.171.19089.json,2000,10.1509/jmkr.37.1.60.18718,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.60.18718.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.1.60.18718.json,1,"{""doi"": 1}","[{""reference_index"": 17, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.1.60.18718"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.39.2.214.19080__cites__10.1509_jmkr.38.4.430.18904,2002,10.1509/jmkr.39.2.214.19080,10.1509/jmkr.39.2.214.19080,Optimal Design for Multinomial Choice Experiments,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.2.214.19080.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.2.214.19080.json,2001,10.1509/jmkr.38.4.430.18904,10.1509/jmkr.38.4.430.18904,Designing Conjoint Choice Experiments Using Managers' Prior Beliefs,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.4.430.18904.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.38.4.430.18904.json,1,"{""doi"": 1}","[{""reference_index"": 27, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.38.4.430.18904"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.39.2.253.19087__cites__10.1509_jmkr.38.2.143.18840,2002,10.1509/jmkr.39.2.253.19087,10.1509/jmkr.39.2.253.19087,Bayesian Prediction in Hybrid Conjoint Analysis,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.2.253.19087.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.2.253.19087.json,2001,10.1509/jmkr.38.2.143.18840,10.1509/jmkr.38.2.143.18840,Response Styles in Marketing Research: A Cross-National Investigation,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.2.143.18840.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.38.2.143.18840.json,1,"{""doi"": 1}","[{""reference_index"": 3, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.38.2.143.18840"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.39.3.292.19103__cites__10.1509_jmkr.37.3.383.18782,2002,10.1509/jmkr.39.3.292.19103,10.1509/jmkr.39.3.292.19103,Price Competition under Stockpiling and Flexible Consumption,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.3.292.19103.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.3.292.19103.json,2000,10.1509/jmkr.37.3.383.18782,10.1509/jmkr.37.3.383.18782,The Estimation of Pre- and Postpromotion Dips with Store-Level Scanner Data,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.3.383.18782.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.3.383.18782.json,1,"{""doi"": 1}","[{""reference_index"": 24, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.3.383.18782"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.39.3.321.19111__cites__10.1509_jmkr.37.1.60.18718,2002,10.1509/jmkr.39.3.321.19111,10.1509/jmkr.39.3.321.19111,When Are Stockpiled Products Consumed Faster? A Convenience–Salience Framework of Postpurchase Consumption Incidence and Quantity,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.3.321.19111.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.3.321.19111.json,2000,10.1509/jmkr.37.1.60.18718,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.60.18718.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.1.60.18718.json,1,"{""doi"": 1}","[{""reference_index"": 12, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.1.60.18718"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.39.3.321.19111__cites__10.1509_jmkr.37.4.397.18788,2002,10.1509/jmkr.39.3.321.19111,10.1509/jmkr.39.3.321.19111,When Are Stockpiled Products Consumed Faster? A Convenience–Salience Framework of Postpurchase Consumption Incidence and Quantity,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.3.321.19111.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.3.321.19111.json,2000,10.1509/jmkr.37.4.397.18788,10.1509/jmkr.37.4.397.18788,A Cognitive Model of People's Usage Estimations,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.4.397.18788.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.4.397.18788.json,1,"{""doi"": 1}","[{""reference_index"": 31, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.4.397.18788"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.39.3.321.19111__cites__10.1509_jmkr.38.1.30.18828,2002,10.1509/jmkr.39.3.321.19111,10.1509/jmkr.39.3.321.19111,When Are Stockpiled Products Consumed Faster? A Convenience–Salience Framework of Postpurchase Consumption Incidence and Quantity,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.3.321.19111.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.3.321.19111.json,2001,10.1509/jmkr.38.1.30.18828,10.1509/jmkr.38.1.30.18828,Transaction Decoupling: How Price Bundling Affects the Decision to Consume,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.1.30.18828.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.38.1.30.18828.json,1,"{""doi"": 1}","[{""reference_index"": 39, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.38.1.30.18828"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.39.3.350.19112__cites__10.1509_jmkr.37.2.156.18732,2002,10.1509/jmkr.39.3.350.19112,10.1509/jmkr.39.3.350.19112,Whose Culture Matters? Near-Market Knowledge and Its Impact on Foreign Market Entry Timing,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.3.350.19112.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.3.350.19112.json,2000,10.1509/jmkr.37.2.156.18732,10.1509/jmkr.37.2.156.18732,Historical Method in Marketing Research with New Evidence on Long-Term Market Share Stability,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.2.156.18732.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.2.156.18732.json,1,"{""doi"": 1}","[{""reference_index"": 38, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.2.156.18732"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.39.4.391.19118__cites__10.1509_jmkr.38.4.399.18908,2002,10.1509/jmkr.39.4.391.19118,10.1509/jmkr.39.4.391.19118,Assessing When Increased Media Weight of Real-World Advertisements Helps Sales,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.4.391.19118.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.4.391.19118.json,2001,10.1509/jmkr.38.4.399.18908,10.1509/jmkr.38.4.399.18908,What to Say When: Advertising Appeals in Evolving Markets,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.4.399.18908.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.38.4.399.18908.json,1,"{""doi"": 1}","[{""reference_index"": 20, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.38.4.399.18908"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.39.4.421.19114__cites__10.1509_jmkr.37.1.16.18723,2002,10.1509/jmkr.39.4.421.19114,10.1509/jmkr.39.4.421.19114,"The Long-Term Effects of Price Promotions on Category Incidence, Brand Choice, and Purchase Quantity",data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.4.421.19114.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.4.421.19114.json,2000,10.1509/jmkr.37.1.16.18723,10.1509/jmkr.37.1.16.18723,The Emergence of Market Structure in New Repeat-Purchase Categories: The Interplay of Market Share and Retailer Distribution,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.16.18723.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.1.16.18723.json,1,"{""doi"": 1}","[{""reference_index"": 12, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.1.16.18723"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.39.4.421.19114__cites__10.1509_jmkr.37.3.383.18782,2002,10.1509/jmkr.39.4.421.19114,10.1509/jmkr.39.4.421.19114,"The Long-Term Effects of Price Promotions on Category Incidence, Brand Choice, and Purchase Quantity",data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.4.421.19114.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.4.421.19114.json,2000,10.1509/jmkr.37.3.383.18782,10.1509/jmkr.37.3.383.18782,The Estimation of Pre- and Postpromotion Dips with Store-Level Scanner Data,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.3.383.18782.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.3.383.18782.json,1,"{""doi"": 1}","[{""reference_index"": 58, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.3.383.18782"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.39.4.469.19117__cites__10.1509_jmkr.37.4.449.18786,2002,10.1509/jmkr.39.4.469.19117,10.1509/jmkr.39.4.469.19117,Informants in Organizational Marketing Research: Why Use Multiple Informants and how to Aggregate Responses,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.4.469.19117.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.4.469.19117.json,2000,10.1509/jmkr.37.4.449.18786,10.1509/jmkr.37.4.449.18786,A Multiple-Layer Model of Market-Oriented Organizational Culture: Measurement Issues and Performance Outcomes,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.4.449.18786.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.4.449.18786.json,1,"{""doi"": 1}","[{""reference_index"": 19, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.4.449.18786"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.39.4.479.19124__cites__10.1509_jmkr.37.4.410.18791,2002,10.1509/jmkr.39.4.479.19124,10.1509/jmkr.39.4.479.19124,An Empirical Comparison of Logit Choice Models with Discrete versus Continuous Representations of Heterogeneity,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.4.479.19124.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.4.479.19124.json,2000,10.1509/jmkr.37.4.410.18791,10.1509/jmkr.37.4.410.18791,Parameter Bias from Unobserved Effects in the Multinomial Logit Model of Consumer Choice,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.4.410.18791.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.37.4.410.18791.json,1,"{""doi"": 1}","[{""reference_index"": 1, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.37.4.410.18791"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.39.4.479.19124__cites__10.1509_jmkr.39.1.87.18936,2002,10.1509/jmkr.39.4.479.19124,10.1509/jmkr.39.4.479.19124,An Empirical Comparison of Logit Choice Models with Discrete versus Continuous Representations of Heterogeneity,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.4.479.19124.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.4.479.19124.json,2002,10.1509/jmkr.39.1.87.18936,10.1509/jmkr.39.1.87.18936,"Hierarchical Bayes versus Finite Mixture Conjoint Analysis Models: A Comparison of Fit, Prediction, and Partworth Recovery",data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.1.87.18936.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.1.87.18936.json,1,"{""doi"": 1}","[{""reference_index"": 3, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.39.1.87.18936"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.39.4.479.19124__cites__10.1509_jmkr.40.2.235.19225,2002,10.1509/jmkr.39.4.479.19124,10.1509/jmkr.39.4.479.19124,An Empirical Comparison of Logit Choice Models with Discrete versus Continuous Representations of Heterogeneity,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.4.479.19124.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.39.4.479.19124.json,2003,10.1509/jmkr.40.2.235.19225,10.1509/jmkr.40.2.235.19225,A Comparison of Segment Retention Criteria for Finite Mixture Logit Models,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.2.235.19225.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.40.2.235.19225.json,1,"{""doi"": 1}","[{""reference_index"": 4, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.40.2.235.19225"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
10.1509_jmkr.40.1.10.19128__cites__10.1509_jmkr.38.3.326.18864,2003,10.1509/jmkr.40.1.10.19128,10.1509/jmkr.40.1.10.19128,Does it Make Sense to Use Scents to Enhance Brand Memory?,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.1.10.19128.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.40.1.10.19128.json,2001,10.1509/jmkr.38.3.326.18864,10.1509/jmkr.38.3.326.18864,Threats to the External Validity of Brand Extension Research,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.3.326.18864.pdf,data\jmr_2000_2025\paper_notes\runs\ai02_full_notes_conc80\notes\10.1509_jmkr.38.3.326.18864.json,1,"{""doi"": 1}","[{""reference_index"": 44, ""match_type"": ""doi"", ""ref_doi"": ""10.1509/jmkr.38.3.326.18864"", ""ref_article_title"": """", ""ref_unstructured"": """"}]"
