pair_id,status,response_id,model,requested_reasoning_effort,returned_reasoning_effort,triage_decision,output_path,raw_response_path,error_path,input_tokens,output_tokens,total_tokens,error
10.1509_jmkr.39.1.87.18936__cites__10.1509_jmkr.37.3.363.18779,ok,resp_0320ef22e80caecb0169dbf23ae3a48191a1c0bc009225531a,gpt-5.4,xhigh,high,uncertain,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.1.87.18936__cites__10.1509_jmkr.37.3.363.18779.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.1.87.18936__cites__10.1509_jmkr.37.3.363.18779.json,,2327,631,2958,
10.1509_jmkr.39.2.155.19084__cites__10.1509_jmkr.37.1.60.18718,ok,resp_074aa12fbae6287a0169dbf23aff588191adabc47edc8387b7,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.2.155.19084__cites__10.1509_jmkr.37.1.60.18718.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.2.155.19084__cites__10.1509_jmkr.37.1.60.18718.json,,2323,348,2671,
10.1509_jmkr.39.2.171.19089__cites__10.1509_jmkr.37.1.60.18718,ok,resp_0db24be39cf0330f0169dbf23acd688191b12d404052259f02,gpt-5.4,xhigh,high,uncertain,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.2.171.19089__cites__10.1509_jmkr.37.1.60.18718.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.2.171.19089__cites__10.1509_jmkr.37.1.60.18718.json,,2362,649,3011,
10.1509_jmkr.39.2.214.19080__cites__10.1509_jmkr.38.4.430.18904,ok,resp_0eb14edcbb54b0240169dbf23abe448191885bee05713c3979,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.2.214.19080__cites__10.1509_jmkr.38.4.430.18904.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.2.214.19080__cites__10.1509_jmkr.38.4.430.18904.json,,2424,371,2795,
10.1509_jmkr.39.2.253.19087__cites__10.1509_jmkr.38.2.143.18840,ok,resp_08f336b9136275480169dbf23afb888191bef8593d82f20bc2,gpt-5.4,xhigh,high,drop_obvious_mention_only,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.2.253.19087__cites__10.1509_jmkr.38.2.143.18840.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.2.253.19087__cites__10.1509_jmkr.38.2.143.18840.json,,2402,579,2981,
10.1509_jmkr.39.3.292.19103__cites__10.1509_jmkr.37.3.383.18782,ok,resp_08314fcc255cb8720169dbf23b09248191843c4d3dd0f53e2d,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.3.292.19103__cites__10.1509_jmkr.37.3.383.18782.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.3.292.19103__cites__10.1509_jmkr.37.3.383.18782.json,,2280,457,2737,
10.1509_jmkr.39.3.321.19111__cites__10.1509_jmkr.37.1.60.18718,ok,resp_05bdb3c04f1685010169dbf23ac97081919dc49681dcfcb580,gpt-5.4,xhigh,high,uncertain,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.3.321.19111__cites__10.1509_jmkr.37.1.60.18718.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.3.321.19111__cites__10.1509_jmkr.37.1.60.18718.json,,2467,1106,3573,
10.1509_jmkr.39.3.321.19111__cites__10.1509_jmkr.37.4.397.18788,ok,resp_0194e30cbdc49cb90169dbf23aba6881918daf4d36ee1bc4eb,gpt-5.4,xhigh,high,uncertain,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.3.321.19111__cites__10.1509_jmkr.37.4.397.18788.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.3.321.19111__cites__10.1509_jmkr.37.4.397.18788.json,,2446,578,3024,
10.1509_jmkr.39.3.321.19111__cites__10.1509_jmkr.38.1.30.18828,ok,resp_0e7de79beabddafb0169dbf23ad1008191ae871d790c8498d5,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.3.321.19111__cites__10.1509_jmkr.38.1.30.18828.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.3.321.19111__cites__10.1509_jmkr.38.1.30.18828.json,,2479,462,2941,
10.1509_jmkr.39.3.350.19112__cites__10.1509_jmkr.37.2.156.18732,ok,resp_079f905519e95a2b0169dbf23b07d08191b84d870b08716006,gpt-5.4,xhigh,high,uncertain,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.3.350.19112__cites__10.1509_jmkr.37.2.156.18732.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.3.350.19112__cites__10.1509_jmkr.37.2.156.18732.json,,2226,491,2717,
10.1509_jmkr.39.4.391.19118__cites__10.1509_jmkr.38.4.399.18908,ok,resp_0bc9f3ef9ead1e7a0169dbf23ade6881918b26d3046b33f868,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.4.391.19118__cites__10.1509_jmkr.38.4.399.18908.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.4.391.19118__cites__10.1509_jmkr.38.4.399.18908.json,,2315,347,2662,
10.1509_jmkr.39.4.421.19114__cites__10.1509_jmkr.37.1.16.18723,ok,resp_037e5760e7a0c9840169dbf23ae1a08191889a0c02babf8b25,gpt-5.4,xhigh,high,uncertain,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.4.421.19114__cites__10.1509_jmkr.37.1.16.18723.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.4.421.19114__cites__10.1509_jmkr.37.1.16.18723.json,,2356,664,3020,
10.1509_jmkr.39.4.421.19114__cites__10.1509_jmkr.37.3.383.18782,ok,resp_0a63236cdb93887b0169dbf23aca0c8191bd2b907a337de580,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.4.421.19114__cites__10.1509_jmkr.37.3.383.18782.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.4.421.19114__cites__10.1509_jmkr.37.3.383.18782.json,,2353,334,2687,
10.1509_jmkr.39.4.469.19117__cites__10.1509_jmkr.37.4.449.18786,ok,resp_0db8b5b6535bb9620169dbf23ab9388191860f142bc5a2b420,gpt-5.4,xhigh,high,uncertain,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.4.469.19117__cites__10.1509_jmkr.37.4.449.18786.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.4.469.19117__cites__10.1509_jmkr.37.4.449.18786.json,,2194,894,3088,
10.1509_jmkr.39.4.479.19124__cites__10.1509_jmkr.37.4.410.18791,ok,resp_02d4f6609dff71860169dbf23b06848191b0e5308dd5391d38,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.4.479.19124__cites__10.1509_jmkr.37.4.410.18791.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.4.479.19124__cites__10.1509_jmkr.37.4.410.18791.json,,2475,692,3167,
10.1509_jmkr.39.4.479.19124__cites__10.1509_jmkr.39.1.87.18936,ok,resp_0788870ed2bff0850169dbf23acd708191895cdb64422e3dd6,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.4.479.19124__cites__10.1509_jmkr.39.1.87.18936.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.4.479.19124__cites__10.1509_jmkr.39.1.87.18936.json,,2452,265,2717,
10.1509_jmkr.39.4.479.19124__cites__10.1509_jmkr.40.2.235.19225,ok,resp_03233c5f2523de110169dbf23adab48191966b6eba2c23aeea,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.39.4.479.19124__cites__10.1509_jmkr.40.2.235.19225.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.39.4.479.19124__cites__10.1509_jmkr.40.2.235.19225.json,,2481,1075,3556,
10.1509_jmkr.40.1.10.19128__cites__10.1509_jmkr.38.3.326.18864,ok,resp_0f631a61fbf527e20169dbf23b19688191b010558d1aeaa89e,gpt-5.4,xhigh,high,drop_obvious_mention_only,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.40.1.10.19128__cites__10.1509_jmkr.38.3.326.18864.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.40.1.10.19128__cites__10.1509_jmkr.38.3.326.18864.json,,2224,548,2772,
10.1509_jmkr.40.1.101.19130__cites__10.1509_jmkr.37.2.227.18735,ok,resp_0166d91b9bd5a4d00169dbf23adecc8191a585b2697a62b189,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.40.1.101.19130__cites__10.1509_jmkr.37.2.227.18735.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.40.1.101.19130__cites__10.1509_jmkr.37.2.227.18735.json,,2329,605,2934,
10.1509_jmkr.40.1.101.19130__cites__10.1509_jmkr.38.1.131.18832,ok,resp_08af3a34d6360bb80169dbf23afde481918e79ebfea527f27b,gpt-5.4,xhigh,high,uncertain,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.40.1.101.19130__cites__10.1509_jmkr.38.1.131.18832.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.40.1.101.19130__cites__10.1509_jmkr.38.1.131.18832.json,,2281,704,2985,
10.1509_jmkr.40.1.101.19130__cites__10.1509_jmkr.38.2.170.18841,ok,resp_051e385fafb52fcb0169dbf23ab6f881918b8fd1e021e06273,gpt-5.4,xhigh,high,drop_obvious_mention_only,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.40.1.101.19130__cites__10.1509_jmkr.38.2.170.18841.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.40.1.101.19130__cites__10.1509_jmkr.38.2.170.18841.json,,2263,681,2944,
10.1509_jmkr.40.1.26.19131__cites__10.1509_jmkr.37.1.60.18718,ok,resp_0f55225e5d3def3a0169dbf23acb008191a8d7cab98b04f8e7,gpt-5.4,xhigh,high,uncertain,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.40.1.26.19131__cites__10.1509_jmkr.37.1.60.18718.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.40.1.26.19131__cites__10.1509_jmkr.37.1.60.18718.json,,2464,814,3278,
10.1509_jmkr.40.1.39.19126__cites__10.1509_jmkr.38.1.110.18830,ok,resp_070ce8fc90996c410169dbf23b16ac819188cece7f9f6ae1f8,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.40.1.39.19126__cites__10.1509_jmkr.38.1.110.18830.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.40.1.39.19126__cites__10.1509_jmkr.38.1.110.18830.json,,2291,498,2789,
10.1509_jmkr.40.2.115.19230__cites__10.1509_jmkr.37.2.259.18733,ok,resp_066147f81a09a4410169dbf23aeda08191909048800dfe86dd,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.40.2.115.19230__cites__10.1509_jmkr.37.2.259.18733.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.40.2.115.19230__cites__10.1509_jmkr.37.2.259.18733.json,,2406,457,2863,
10.1509_jmkr.40.2.115.19230__cites__10.1509_jmkr.39.2.228.19086,ok,resp_013dc0c5bb8fbdde0169dbf23b20b081919a9281a7dcfb0580,gpt-5.4,xhigh,high,uncertain,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.40.2.115.19230__cites__10.1509_jmkr.39.2.228.19086.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.40.2.115.19230__cites__10.1509_jmkr.39.2.228.19086.json,,2502,439,2941,
10.1509_jmkr.40.2.131.19224__cites__10.1509_jmkr.37.3.363.18779,ok,resp_0e1390f4d54b20630169dbf23afba48191a3fef075ab2597ed,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.40.2.131.19224__cites__10.1509_jmkr.37.3.363.18779.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.40.2.131.19224__cites__10.1509_jmkr.37.3.363.18779.json,,2245,384,2629,
10.1509_jmkr.40.2.161.19222__cites__10.1509_jmkr.37.2.203.18734,ok,resp_07a789599ec0f6db0169dbf23adce4819192358bdcd9418124,gpt-5.4,xhigh,high,uncertain,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.40.2.161.19222__cites__10.1509_jmkr.37.2.203.18734.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.40.2.161.19222__cites__10.1509_jmkr.37.2.203.18734.json,,2441,807,3248,
10.1509_jmkr.40.2.161.19222__cites__10.1509_jmkr.37.2.215.18729,ok,resp_003ff76df12d3fed0169dbf23b08508191885a1e857018adac,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.40.2.161.19222__cites__10.1509_jmkr.37.2.215.18729.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.40.2.161.19222__cites__10.1509_jmkr.37.2.215.18729.json,,2447,588,3035,
10.1509_jmkr.40.2.210.19223__cites__10.1509_jmkr.37.2.227.18735,ok,resp_0ca6342a5c0b38390169dbf23ac0c081918e29370f9005fc77,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.40.2.210.19223__cites__10.1509_jmkr.37.2.227.18735.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.40.2.210.19223__cites__10.1509_jmkr.37.2.227.18735.json,,2295,341,2636,
10.1509_jmkr.40.2.210.19223__cites__10.1509_jmkr.38.1.100.18835,ok,resp_06ff7f749fef1ace0169dbf23ae0e88191afd6faee4290ca4e,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.40.2.210.19223__cites__10.1509_jmkr.38.1.100.18835.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.40.2.210.19223__cites__10.1509_jmkr.38.1.100.18835.json,,2171,366,2537,
10.1509_jmkr.40.2.225.19227__cites__10.1509_jmkr.39.1.99.18932,ok,resp_02ea74aa61f03fbe0169dbf23aec188191b59686191dbd07d5,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.40.2.225.19227__cites__10.1509_jmkr.39.1.99.18932.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.40.2.225.19227__cites__10.1509_jmkr.39.1.99.18932.json,,2522,268,2790,
10.1509_jmkr.40.2.235.19225__cites__10.1509_jmkr.37.4.410.18791,ok,resp_0243ec2c7134e7620169dbf23b0c088191862576153810e1e9,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.40.2.235.19225__cites__10.1509_jmkr.37.4.410.18791.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.40.2.235.19225__cites__10.1509_jmkr.37.4.410.18791.json,,2494,856,3350,
10.1509_jmkr.40.2.235.19225__cites__10.1509_jmkr.39.1.87.18936,ok,resp_0e4fb63d402c86380169dbf23ae7248191bc67ac9e8674591e,gpt-5.4,xhigh,high,keep_for_relation_judgment,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\triages\10.1509_jmkr.40.2.235.19225__cites__10.1509_jmkr.39.1.87.18936.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_triage\runs\ai02_full_triage_conc80\responses\10.1509_jmkr.40.2.235.19225__cites__10.1509_jmkr.39.1.87.18936.json,,2471,651,3122,
