citing_official_year,citing_resolved_doi,citing_title,cited_official_year,cited_resolved_doi,cited_title,matched_reference_count,match_type_breakdown
2002,10.1509/jmkr.39.3.321.19111,When Are Stockpiled Products Consumed Faster? A Convenience–Salience Framework of Postpurchase Consumption Incidence and Quantity,2000,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,1,"{""doi"": 1}"
2002,10.1509/jmkr.39.3.321.19111,When Are Stockpiled Products Consumed Faster? A Convenience–Salience Framework of Postpurchase Consumption Incidence and Quantity,2000,10.1509/jmkr.37.4.397.18788,A Cognitive Model of People's Usage Estimations,1,"{""doi"": 1}"
2002,10.1509/jmkr.39.3.321.19111,When Are Stockpiled Products Consumed Faster? A Convenience–Salience Framework of Postpurchase Consumption Incidence and Quantity,2001,10.1509/jmkr.38.1.30.18828,Transaction Decoupling: How Price Bundling Affects the Decision to Consume,1,"{""doi"": 1}"
2002,10.1509/jmkr.39.3.350.19112,Whose Culture Matters? Near-Market Knowledge and Its Impact on Foreign Market Entry Timing,2000,10.1509/jmkr.37.2.156.18732,Historical Method in Marketing Research with New Evidence on Long-Term Market Share Stability,1,"{""doi"": 1}"
2002,10.1509/jmkr.39.4.391.19118,Assessing When Increased Media Weight of Real-World Advertisements Helps Sales,2001,10.1509/jmkr.38.4.399.18908,What to Say When: Advertising Appeals in Evolving Markets,1,"{""doi"": 1}"
2002,10.1509/jmkr.39.4.421.19114,"The Long-Term Effects of Price Promotions on Category Incidence, Brand Choice, and Purchase Quantity",2000,10.1509/jmkr.37.1.16.18723,The Emergence of Market Structure in New Repeat-Purchase Categories: The Interplay of Market Share and Retailer Distribution,1,"{""doi"": 1}"
2002,10.1509/jmkr.39.4.421.19114,"The Long-Term Effects of Price Promotions on Category Incidence, Brand Choice, and Purchase Quantity",2000,10.1509/jmkr.37.3.383.18782,The Estimation of Pre- and Postpromotion Dips with Store-Level Scanner Data,1,"{""doi"": 1}"
2002,10.1509/jmkr.39.4.469.19117,Informants in Organizational Marketing Research: Why Use Multiple Informants and how to Aggregate Responses,2000,10.1509/jmkr.37.4.449.18786,A Multiple-Layer Model of Market-Oriented Organizational Culture: Measurement Issues and Performance Outcomes,1,"{""doi"": 1}"
2002,10.1509/jmkr.39.4.479.19124,An Empirical Comparison of Logit Choice Models with Discrete versus Continuous Representations of Heterogeneity,2000,10.1509/jmkr.37.4.410.18791,Parameter Bias from Unobserved Effects in the Multinomial Logit Model of Consumer Choice,1,"{""doi"": 1}"
2002,10.1509/jmkr.39.4.479.19124,An Empirical Comparison of Logit Choice Models with Discrete versus Continuous Representations of Heterogeneity,2002,10.1509/jmkr.39.1.87.18936,"Hierarchical Bayes versus Finite Mixture Conjoint Analysis Models: A Comparison of Fit, Prediction, and Partworth Recovery",1,"{""doi"": 1}"
2002,10.1509/jmkr.39.4.479.19124,An Empirical Comparison of Logit Choice Models with Discrete versus Continuous Representations of Heterogeneity,2003,10.1509/jmkr.40.2.235.19225,A Comparison of Segment Retention Criteria for Finite Mixture Logit Models,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.1.10.19128,Does it Make Sense to Use Scents to Enhance Brand Memory?,2001,10.1509/jmkr.38.3.326.18864,Threats to the External Validity of Brand Extension Research,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.1.101.19130,Interdependence and Its Consequences in Distributor-Supplier Relationships: A Distributor Perspective through Response Surface Approach,2000,10.1509/jmkr.37.2.227.18735,Control Mechanisms and the Relationship Life Cycle: Implications for Safeguarding Specific Investments and Developing Commitment,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.1.101.19130,Interdependence and Its Consequences in Distributor-Supplier Relationships: A Distributor Perspective through Response Surface Approach,2001,10.1509/jmkr.38.1.131.18832,"Satisfaction, Repurchase Intent, and Repurchase Behavior: Investigating the Moderating Effect of Customer Characteristics",1,"{""doi"": 1}"
2003,10.1509/jmkr.40.1.101.19130,Interdependence and Its Consequences in Distributor-Supplier Relationships: A Distributor Perspective through Response Surface Approach,2001,10.1509/jmkr.38.2.170.18841,In Search of Negative Customer Feedback: The Effect of Expecting to Evaluate on Satisfaction Evaluations,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.1.26.19131,Incommensurate Resources: Not Just More of the Same,2000,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.1.39.19126,Determining the Appropriate Depth and Breadth of a Firm's Product Portfolio,2001,10.1509/jmkr.38.1.110.18830,An Empirical Analysis of Firms' Product Line Decisions,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.2.115.19230,A General Choice Model for Bundles with Multiple-Category Products: Application to Market Segmentation and Optimal Pricing for Bundles,2000,10.1509/jmkr.37.2.259.18733,A Hierarchical Bayes Model for Assortment Choice,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.2.115.19230,A General Choice Model for Bundles with Multiple-Category Products: Application to Market Segmentation and Optimal Pricing for Bundles,2002,10.1509/jmkr.39.2.228.19086,Measuring Consumers' Willingness to Pay at the Point of Purchase,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.2.131.19224,E-Customization,2000,10.1509/jmkr.37.3.363.18779,Internet Recommendation Systems,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.2.161.19222,The Reciprocal Effects of Brand Equity and Trivial Attributes,2000,10.1509/jmkr.37.2.203.18734,Consumer Response to Negative Publicity: The Moderating Role of Commitment,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.2.161.19222,The Reciprocal Effects of Brand Equity and Trivial Attributes,2000,10.1509/jmkr.37.2.215.18729,Impact of Product-Harm Crises on Brand Equity: The Moderating Role of Consumer Expectations,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.2.210.19223,Specific Investments in Marketing Relationships: Expropriation and Bonding Effects,2000,10.1509/jmkr.37.2.227.18735,Control Mechanisms and the Relationship Life Cycle: Implications for Safeguarding Specific Investments and Developing Commitment,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.2.210.19223,Specific Investments in Marketing Relationships: Expropriation and Bonding Effects,2001,10.1509/jmkr.38.1.100.18835,Misleading Heuristics and Moderated Multiple Regression Models,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.2.225.19227,Multicriterion Clusterwise Regression for Joint Segmentation Settings: An Application to Customer Value,2002,10.1509/jmkr.39.1.99.18932,A Simulated Annealing Heuristic for a Bicriterion Partitioning Problem in Market Segmentation,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.2.235.19225,A Comparison of Segment Retention Criteria for Finite Mixture Logit Models,2000,10.1509/jmkr.37.4.410.18791,Parameter Bias from Unobserved Effects in the Multinomial Logit Model of Consumer Choice,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.2.235.19225,A Comparison of Segment Retention Criteria for Finite Mixture Logit Models,2002,10.1509/jmkr.39.1.87.18936,"Hierarchical Bayes versus Finite Mixture Conjoint Analysis Models: A Comparison of Fit, Prediction, and Partworth Recovery",1,"{""doi"": 1}"
2003,10.1509/jmkr.40.2.235.19225,A Comparison of Segment Retention Criteria for Finite Mixture Logit Models,2002,10.1509/jmkr.39.4.479.19124,An Empirical Comparison of Logit Choice Models with Discrete versus Continuous Representations of Heterogeneity,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.3.249.19241,A Model of Web Site Browsing Behavior Estimated on Clickstream Data,2000,10.1509/jmkr.37.3.363.18779,Internet Recommendation Systems,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.3.249.19241,A Model of Web Site Browsing Behavior Estimated on Clickstream Data,2003,10.1509/jmkr.40.2.131.19224,E-Customization,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.3.268.19234,A Temporal Dynamic Model of Spousal Family Purchase-Decision Behavior,2002,10.1509/jmkr.39.3.336.19105,Understanding the Role of Preference Revision and Concession in Group Decisions,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.3.282.19240,Modeling Interdependent Consumer Preferences,2002,10.1509/jmkr.39.1.1.18939,Using Multimarket Data to Predict Brand Performance in Markets for Which No or Poor Data Exist,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.3.310.19238,Measuring the Hedonic and Utilitarian Dimensions of Consumer Attitude,2000,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.3.310.19238,Measuring the Hedonic and Utilitarian Dimensions of Consumer Attitude,2001,10.1509/jmkr.38.4.415.18910,Understanding What's in a Brand Rating: A Model for Assessing Brand and Attribute Effects and Their Relationship to Brand Equity,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.3.321.19233,Multivariate Analysis of Multiple Response Data,2001,10.1509/jmkr.38.2.183.18849,Choice Menus for Mass Customization: An Experimental Approach for Analyzing Customer Demand with an Application to a Web-Based Information Service,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.4.375.19385,Understanding the Impact of Synergy in Multimedia Communications,2000,10.1509/jmkr.37.1.113.18717,Controlling Measurement Errors in Models of Advertising Competition,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.4.375.19385,Understanding the Impact of Synergy in Multimedia Communications,2000,10.1509/jmkr.37.1.88.18715,A New Dimension Reduction Approach for Data-Rich Marketing Environments: Sliced Inverse Regression,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.4.389.19392,Measuring the Impact of Promotions on Brand Switching When Consumers Are Forward Looking,2000,10.1509/jmkr.37.3.383.18782,The Estimation of Pre- and Postpromotion Dips with Store-Level Scanner Data,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.4.389.19392,Measuring the Impact of Promotions on Brand Switching When Consumers Are Forward Looking,2002,10.1509/jmkr.39.4.408.19120,An Empirical Investigation of the Spillover Effects of Advertising and Sales Promotions in Umbrella Branding,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.4.389.19392,Measuring the Impact of Promotions on Brand Switching When Consumers Are Forward Looking,2003,10.1509/jmkr.40.4.481.19386,"Is 75% of the Sales Promotion Bump Due to Brand Switching? No, Only 33% Is",1,"{""doi"": 1}"
2003,10.1509/jmkr.40.4.406.19394,Measuring Preferences for Really New Products,2001,10.1509/jmkr.38.1.14.18836,Entrenched Knowledge Structures and Consumer Response to New Products,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.4.454.19383,The Idiosyncratic Fit Heuristic: Effort Advantage as a Determinant of Consumer Response to Loyalty Programs,2000,10.1509/jmkr.37.4.427.18796,The Effects of Incomplete Information on Consumer Choice,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.4.454.19383,The Idiosyncratic Fit Heuristic: Effort Advantage as a Determinant of Consumer Response to Loyalty Programs,2002,10.1509/jmkr.39.2.155.19084,Earning the Right to Indulge: Effort as a Determinant of Customer Preferences toward Frequency Program Rewards,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.4.454.19383,The Idiosyncratic Fit Heuristic: Effort Advantage as a Determinant of Consumer Response to Loyalty Programs,2002,10.1509/jmkr.39.3.277.19108,Do we care what others Get? A Behaviorist Approach to Targeted Promotions,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.4.468.19391,The Differential Interaction of Auditory and Visual Advertising Elements with Chinese and English,2001,10.1509/jmkr.38.3.313.18869,Creating Local Brands in Multilingual International Markets,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.4.481.19386,"Is 75% of the Sales Promotion Bump Due to Brand Switching? No, Only 33% Is",2000,10.1509/jmkr.37.3.383.18782,The Estimation of Pre- and Postpromotion Dips with Store-Level Scanner Data,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.4.481.19386,"Is 75% of the Sales Promotion Bump Due to Brand Switching? No, Only 33% Is",2002,10.1509/jmkr.39.3.379.19109,The Asymmetric Share Effect: An Empirical Generalization on Cross-Price Effects,1,"{""doi"": 1}"
2003,10.1509/jmkr.40.4.481.19386,"Is 75% of the Sales Promotion Bump Due to Brand Switching? No, Only 33% Is",2002,10.1509/jmkr.39.4.421.19114,"The Long-Term Effects of Price Promotions on Category Incidence, Brand Choice, and Purchase Quantity",1,"{""doi"": 1}"
2004,10.1509/jmkr.41.1.1.25089,Journal of Marketing Research: 2 Ps,2003,10.1509/jmkr.40.4.481.19386,"Is 75% of the Sales Promotion Bump Due to Brand Switching? No, Only 33% Is",1,"{""doi"": 1}"
2004,10.1509/jmkr.41.1.1.25089,Journal of Marketing Research: 2 Ps,2004,10.1509/jmkr.41.3.237.35990,Alternative Models for Capturing the Compromise Effect,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.1.101.25090,The Timing of Repeat Purchases of Consumer Durable Goods: The Role of Functional Bases of Consumer Attitudes,2000,10.1509/jmkr.37.4.463.18793,From Uncertain Intentions to Actual Behavior: A Threshold Model of Whether and When Salespeople Quit,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.1.31.25086,Recapturing Lost Customers,2001,10.1509/jmkr.38.2.262.18848,A Methodology for Linking Customer Acquisition to Customer Retention,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.1.59.25085,Using Combined-Currency Prices to Lower Consumers’ Perceived Cost,2003,10.1509/jmkr.40.1.26.19131,Incommensurate Resources: Not Just More of the Same,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.1.7.25084,Valuing Customers,2001,10.1509/jmkr.38.2.262.18848,A Methodology for Linking Customer Acquisition to Customer Retention,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.1.73.25081,A Direct Approach to Predicting Discretized Response in Target Marketing,2001,10.1509/jmkr.38.1.131.18832,"Satisfaction, Repurchase Intent, and Repurchase Behavior: Investigating the Moderating Effect of Customer Characteristics",1,"{""doi"": 1}"
2004,10.1509/jmkr.41.2.135.28670,Brands as Beacons: A New Source of Loyalty to Multiproduct Firms,2000,10.1509/jmkr.37.2.173.18738,"Cast Demographics, Unobserved Segments, and Heterogeneous Switching Costs in a Television Viewing Choice Model",1,"{""doi"": 1}"
2004,10.1509/jmkr.41.2.151.28665,The Effect of Conceptual and Perceptual Fluency on Brand Evaluation,2002,10.1509/jmkr.39.2.186.19082,Absence Makes the Mind Grow Sharper: Effects of Element Omission on Subsequent Recall,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.2.151.28665,The Effect of Conceptual and Perceptual Fluency on Brand Evaluation,2002,10.1509/jmkr.39.4.440.19119,Effects of Implicit Memory on Memory-Based versus Stimulus-Based Brand Choice,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.2.166.28669,The Dynamic Effect of Innovation on Market Structure,2000,10.1509/jmkr.37.1.113.18717,Controlling Measurement Errors in Models of Advertising Competition,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.2.166.28669,The Dynamic Effect of Innovation on Market Structure,2000,10.1509/jmkr.37.1.16.18723,The Emergence of Market Structure in New Repeat-Purchase Categories: The Interplay of Market Share and Retailer Distribution,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.2.166.28669,The Dynamic Effect of Innovation on Market Structure,2000,10.1509/jmkr.37.3.383.18782,The Estimation of Pre- and Postpromotion Dips with Store-Level Scanner Data,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.2.184.28674,Model of Brand Choice with a No-Purchase Option Calibrated to Scanner-Panel Data,2002,10.1509/jmkr.39.2.141.19090,Investigating Category Pricing Behavior at a Retail Chain,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.2.184.28674,Model of Brand Choice with a No-Purchase Option Calibrated to Scanner-Panel Data,2003,10.1509/jmkr.40.4.481.19386,"Is 75% of the Sales Promotion Bump Due to Brand Switching? No, Only 33% Is",1,"{""doi"": 1}"
2004,10.1509/jmkr.41.2.197.28667,When Corporate Image Affects Product Evaluations: The Moderating Role of Perceived Risk,2001,10.1509/jmkr.38.2.225.18838,Does Doing Good Always Lead to Doing Better? Consumer Reactions to Corporate Social Responsibility,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.2.215.28668,Waiting for the Web: How Screen Color Affects Time Perception,2002,10.1509/jmkr.39.1.18.18929,Search and Alignment in Judgment Revision: Implications for Brand Positioning,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.2.226.28666,The Augmented Latent Class Model: Incorporating Additional Heterogeneity in the Latent Class Model for Panel Data,2000,10.1509/jmkr.37.4.410.18791,Parameter Bias from Unobserved Effects in the Multinomial Logit Model of Consumer Choice,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.2.226.28666,The Augmented Latent Class Model: Incorporating Additional Heterogeneity in the Latent Class Model for Panel Data,2002,10.1509/jmkr.39.4.479.19124,An Empirical Comparison of Logit Choice Models with Discrete versus Continuous Representations of Heterogeneity,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.237.35990,Alternative Models for Capturing the Compromise Effect,2000,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.237.35990,Alternative Models for Capturing the Compromise Effect,2000,10.1509/jmkr.37.4.427.18796,The Effects of Incomplete Information on Consumer Choice,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.237.35990,Alternative Models for Capturing the Compromise Effect,2003,10.1509/jmkr.40.2.146.19229,The Effect of Forced Choice on Choice,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.237.35990,Alternative Models for Capturing the Compromise Effect,2004,10.1509/jmkr.41.3.262.35993,Extending Compromise Effect Models to Complex Buying Situations and Other Context Effects,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.258.35996,Toward Extending the Compromise Effect to Complex Buying Contexts,2003,10.1509/jmkr.40.2.146.19229,The Effect of Forced Choice on Choice,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.258.35996,Toward Extending the Compromise Effect to Complex Buying Contexts,2004,10.1509/jmkr.41.3.237.35990,Alternative Models for Capturing the Compromise Effect,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.262.35993,Extending Compromise Effect Models to Complex Buying Situations and Other Context Effects,2000,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.262.35993,Extending Compromise Effect Models to Complex Buying Situations and Other Context Effects,2004,10.1509/jmkr.41.3.237.35990,Alternative Models for Capturing the Compromise Effect,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.262.35993,Extending Compromise Effect Models to Complex Buying Situations and Other Context Effects,2004,10.1509/jmkr.41.3.258.35996,Toward Extending the Compromise Effect to Complex Buying Contexts,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.269.35989,Longitudinal Shifts in the Drivers of Satisfaction with Product Quality: The Role of Attribute Resolvability,2000,10.1509/jmkr.37.3.331.18780,A Connectionist Model of Brand–Quality Associations,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.269.35989,Longitudinal Shifts in the Drivers of Satisfaction with Product Quality: The Role of Attribute Resolvability,2001,10.1509/jmkr.38.1.131.18832,"Satisfaction, Repurchase Intent, and Repurchase Behavior: Investigating the Moderating Effect of Customer Characteristics",1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.269.35989,Longitudinal Shifts in the Drivers of Satisfaction with Product Quality: The Role of Attribute Resolvability,2003,10.1509/jmkr.40.3.295.19235,The Role of Firm Resources in Returns to Market Deployment,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.281.35986,The Influence of Loyalty Programs and Short-Term Promotions on Customer Retention,2002,10.1509/jmkr.39.2.155.19084,Earning the Right to Indulge: Effort as a Determinant of Customer Preferences toward Frequency Program Rewards,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.281.35986,The Influence of Loyalty Programs and Short-Term Promotions on Customer Retention,2003,10.1509/jmkr.40.4.389.19392,Measuring the Impact of Promotions on Brand Switching When Consumers Are Forward Looking,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.293.35991,The Customer Relationship Management Process: Its Measurement and Impact on Performance,2000,10.1509/jmkr.37.2.227.18735,Control Mechanisms and the Relationship Life Cycle: Implications for Safeguarding Specific Investments and Developing Commitment,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.293.35991,The Customer Relationship Management Process: Its Measurement and Impact on Performance,2001,10.1509/jmkr.38.2.269.18845,Index Construction with Formative Indicators: An Alternative to Scale Development,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.306.35985,Modeling Purchase Behavior at an E-Commerce Web Site: A Task-Completion Approach,2002,10.1509/jmkr.39.1.1.18939,Using Multimarket Data to Predict Brand Performance in Markets for Which No or Poor Data Exist,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.306.35985,Modeling Purchase Behavior at an E-Commerce Web Site: A Task-Completion Approach,2003,10.1509/jmkr.40.3.249.19241,A Model of Web Site Browsing Behavior Estimated on Clickstream Data,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.306.35985,Modeling Purchase Behavior at an E-Commerce Web Site: A Task-Completion Approach,2003,10.1509/jmkr.40.4.481.19386,"Is 75% of the Sales Promotion Bump Due to Brand Switching? No, Only 33% Is",1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.324.35987,Determinants of Product-Use Compliance Behavior,2005,10.1509/jmkr.2005.42.3.323,Direct-to-Consumer Advertising and Drug Therapy Compliance,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.324.35987,Determinants of Product-Use Compliance Behavior,2000,10.1509/jmkr.37.2.139.18728,The Evolution of Brand Preferences and Choice Behaviors of Consumers New to a Market,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.324.35987,Determinants of Product-Use Compliance Behavior,2001,10.1509/jmkr.38.3.281.18863,Managing Customer-Initiated Contacts with Manufacturers: The Impact on Share of Category Requirements and Word-of-Mouth Behavior,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.339.35992,The Determinants of Pre- and Postpromotion Dips in Sales of Frequently Purchased Goods,2000,10.1509/jmkr.37.3.281.18781,Building Store Loyalty through Store Brands,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.339.35992,The Determinants of Pre- and Postpromotion Dips in Sales of Frequently Purchased Goods,2000,10.1509/jmkr.37.3.383.18782,The Estimation of Pre- and Postpromotion Dips with Store-Level Scanner Data,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.339.35992,The Determinants of Pre- and Postpromotion Dips in Sales of Frequently Purchased Goods,2001,10.1509/jmkr.38.2.197.18842,Semiparametric Analysis to Estimate the Deal Effect Curve,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.339.35992,The Determinants of Pre- and Postpromotion Dips in Sales of Frequently Purchased Goods,2002,10.1509/jmkr.39.4.421.19114,"The Long-Term Effects of Price Promotions on Category Incidence, Brand Choice, and Purchase Quantity",1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.339.35992,The Determinants of Pre- and Postpromotion Dips in Sales of Frequently Purchased Goods,2003,10.1509/jmkr.40.4.481.19386,"Is 75% of the Sales Promotion Bump Due to Brand Switching? No, Only 33% Is",1,"{""doi"": 1}"
2004,10.1509/jmkr.41.3.351.35988,The Recoverability of Segmentation Structure from Store-Level Aggregate Data,2002,10.1509/jmkr.39.4.479.19124,An Empirical Comparison of Logit Choice Models with Discrete versus Continuous Representations of Heterogeneity,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.4.369.47018,A Learning-Based Model for Imputing Missing Levels in Partial Conjoint Profiles,2002,10.1509/jmkr.39.2.253.19087,Bayesian Prediction in Hybrid Conjoint Analysis,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.4.369.47018,A Learning-Based Model for Imputing Missing Levels in Partial Conjoint Profiles,2003,10.1509/jmkr.40.3.351.19232,A Parsimonious Model of Stockkeeping-Unit Choice,1,"{""doi"": 1}"
2004,10.1509/jmkr.41.4.382.47013,When Absence Begets Inference in Conjoint Analysis,2004,10.1509/jmkr.41.3.237.35990,Alternative Models for Capturing the Compromise Effect,1,"{""doi"": 1}"
