citing_official_year,citing_query_doi,citing_resolved_doi,citing_title,citing_pdf_path,reference_index,match_type,ref_doi,ref_article_title,ref_unstructured,cited_official_year,cited_query_doi,cited_resolved_doi,cited_title,cited_pdf_path
2002,10.1509/jmkr.39.1.87.18936,10.1509/jmkr.39.1.87.18936,"Hierarchical Bayes versus Finite Mixture Conjoint Analysis Models: A Comparison of Fit, Prediction, and Partworth Recovery",data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.1.87.18936.pdf,4,doi,10.1509/jmkr.37.3.363.18779,,,2000,10.1509/jmkr.37.3.363.18779,10.1509/jmkr.37.3.363.18779,Internet Recommendation Systems,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.3.363.18779.pdf
2002,10.1509/jmkr.39.2.155.19084,10.1509/jmkr.39.2.155.19084,Earning the Right to Indulge: Effort as a Determinant of Customer Preferences toward Frequency Program Rewards,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.2.155.19084.pdf,12,doi,10.1509/jmkr.37.1.60.18718,,,2000,10.1509/jmkr.37.1.60.18718,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.60.18718.pdf
2002,10.1509/jmkr.39.2.171.19089,10.1509/jmkr.39.2.171.19089,Developing Synergies between Promotions and Brands in Different Price-Quality Tiers,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.2.171.19089.pdf,17,doi,10.1509/jmkr.37.1.60.18718,,,2000,10.1509/jmkr.37.1.60.18718,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.60.18718.pdf
2002,10.1509/jmkr.39.2.214.19080,10.1509/jmkr.39.2.214.19080,Optimal Design for Multinomial Choice Experiments,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.2.214.19080.pdf,27,doi,10.1509/jmkr.38.4.430.18904,,,2001,10.1509/jmkr.38.4.430.18904,10.1509/jmkr.38.4.430.18904,Designing Conjoint Choice Experiments Using Managers' Prior Beliefs,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.4.430.18904.pdf
2002,10.1509/jmkr.39.2.253.19087,10.1509/jmkr.39.2.253.19087,Bayesian Prediction in Hybrid Conjoint Analysis,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.2.253.19087.pdf,3,doi,10.1509/jmkr.38.2.143.18840,,,2001,10.1509/jmkr.38.2.143.18840,10.1509/jmkr.38.2.143.18840,Response Styles in Marketing Research: A Cross-National Investigation,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.2.143.18840.pdf
2002,10.1509/jmkr.39.3.292.19103,10.1509/jmkr.39.3.292.19103,Price Competition under Stockpiling and Flexible Consumption,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.3.292.19103.pdf,24,doi,10.1509/jmkr.37.3.383.18782,,,2000,10.1509/jmkr.37.3.383.18782,10.1509/jmkr.37.3.383.18782,The Estimation of Pre- and Postpromotion Dips with Store-Level Scanner Data,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.3.383.18782.pdf
2002,10.1509/jmkr.39.3.321.19111,10.1509/jmkr.39.3.321.19111,When Are Stockpiled Products Consumed Faster? A Convenience–Salience Framework of Postpurchase Consumption Incidence and Quantity,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.3.321.19111.pdf,12,doi,10.1509/jmkr.37.1.60.18718,,,2000,10.1509/jmkr.37.1.60.18718,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.60.18718.pdf
2002,10.1509/jmkr.39.3.321.19111,10.1509/jmkr.39.3.321.19111,When Are Stockpiled Products Consumed Faster? A Convenience–Salience Framework of Postpurchase Consumption Incidence and Quantity,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.3.321.19111.pdf,31,doi,10.1509/jmkr.37.4.397.18788,,,2000,10.1509/jmkr.37.4.397.18788,10.1509/jmkr.37.4.397.18788,A Cognitive Model of People's Usage Estimations,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.4.397.18788.pdf
2002,10.1509/jmkr.39.3.321.19111,10.1509/jmkr.39.3.321.19111,When Are Stockpiled Products Consumed Faster? A Convenience–Salience Framework of Postpurchase Consumption Incidence and Quantity,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.3.321.19111.pdf,39,doi,10.1509/jmkr.38.1.30.18828,,,2001,10.1509/jmkr.38.1.30.18828,10.1509/jmkr.38.1.30.18828,Transaction Decoupling: How Price Bundling Affects the Decision to Consume,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.1.30.18828.pdf
2002,10.1509/jmkr.39.3.350.19112,10.1509/jmkr.39.3.350.19112,Whose Culture Matters? Near-Market Knowledge and Its Impact on Foreign Market Entry Timing,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.3.350.19112.pdf,38,doi,10.1509/jmkr.37.2.156.18732,,,2000,10.1509/jmkr.37.2.156.18732,10.1509/jmkr.37.2.156.18732,Historical Method in Marketing Research with New Evidence on Long-Term Market Share Stability,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.2.156.18732.pdf
2002,10.1509/jmkr.39.4.391.19118,10.1509/jmkr.39.4.391.19118,Assessing When Increased Media Weight of Real-World Advertisements Helps Sales,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.4.391.19118.pdf,20,doi,10.1509/jmkr.38.4.399.18908,,,2001,10.1509/jmkr.38.4.399.18908,10.1509/jmkr.38.4.399.18908,What to Say When: Advertising Appeals in Evolving Markets,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.4.399.18908.pdf
2002,10.1509/jmkr.39.4.421.19114,10.1509/jmkr.39.4.421.19114,"The Long-Term Effects of Price Promotions on Category Incidence, Brand Choice, and Purchase Quantity",data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.4.421.19114.pdf,12,doi,10.1509/jmkr.37.1.16.18723,,,2000,10.1509/jmkr.37.1.16.18723,10.1509/jmkr.37.1.16.18723,The Emergence of Market Structure in New Repeat-Purchase Categories: The Interplay of Market Share and Retailer Distribution,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.16.18723.pdf
2002,10.1509/jmkr.39.4.421.19114,10.1509/jmkr.39.4.421.19114,"The Long-Term Effects of Price Promotions on Category Incidence, Brand Choice, and Purchase Quantity",data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.4.421.19114.pdf,58,doi,10.1509/jmkr.37.3.383.18782,,,2000,10.1509/jmkr.37.3.383.18782,10.1509/jmkr.37.3.383.18782,The Estimation of Pre- and Postpromotion Dips with Store-Level Scanner Data,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.3.383.18782.pdf
2002,10.1509/jmkr.39.4.469.19117,10.1509/jmkr.39.4.469.19117,Informants in Organizational Marketing Research: Why Use Multiple Informants and how to Aggregate Responses,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.4.469.19117.pdf,19,doi,10.1509/jmkr.37.4.449.18786,,,2000,10.1509/jmkr.37.4.449.18786,10.1509/jmkr.37.4.449.18786,A Multiple-Layer Model of Market-Oriented Organizational Culture: Measurement Issues and Performance Outcomes,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.4.449.18786.pdf
2002,10.1509/jmkr.39.4.479.19124,10.1509/jmkr.39.4.479.19124,An Empirical Comparison of Logit Choice Models with Discrete versus Continuous Representations of Heterogeneity,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.4.479.19124.pdf,1,doi,10.1509/jmkr.37.4.410.18791,,,2000,10.1509/jmkr.37.4.410.18791,10.1509/jmkr.37.4.410.18791,Parameter Bias from Unobserved Effects in the Multinomial Logit Model of Consumer Choice,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.4.410.18791.pdf
2002,10.1509/jmkr.39.4.479.19124,10.1509/jmkr.39.4.479.19124,An Empirical Comparison of Logit Choice Models with Discrete versus Continuous Representations of Heterogeneity,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.4.479.19124.pdf,3,doi,10.1509/jmkr.39.1.87.18936,,,2002,10.1509/jmkr.39.1.87.18936,10.1509/jmkr.39.1.87.18936,"Hierarchical Bayes versus Finite Mixture Conjoint Analysis Models: A Comparison of Fit, Prediction, and Partworth Recovery",data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.1.87.18936.pdf
2002,10.1509/jmkr.39.4.479.19124,10.1509/jmkr.39.4.479.19124,An Empirical Comparison of Logit Choice Models with Discrete versus Continuous Representations of Heterogeneity,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.4.479.19124.pdf,4,doi,10.1509/jmkr.40.2.235.19225,,,2003,10.1509/jmkr.40.2.235.19225,10.1509/jmkr.40.2.235.19225,A Comparison of Segment Retention Criteria for Finite Mixture Logit Models,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.2.235.19225.pdf
2003,10.1509/jmkr.40.1.10.19128,10.1509/jmkr.40.1.10.19128,Does it Make Sense to Use Scents to Enhance Brand Memory?,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.1.10.19128.pdf,44,doi,10.1509/jmkr.38.3.326.18864,,,2001,10.1509/jmkr.38.3.326.18864,10.1509/jmkr.38.3.326.18864,Threats to the External Validity of Brand Extension Research,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.3.326.18864.pdf
2003,10.1509/jmkr.40.1.101.19130,10.1509/jmkr.40.1.101.19130,Interdependence and Its Consequences in Distributor-Supplier Relationships: A Distributor Perspective through Response Surface Approach,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.1.101.19130.pdf,15,doi,10.1509/jmkr.37.2.227.18735,,,2000,10.1509/jmkr.37.2.227.18735,10.1509/jmkr.37.2.227.18735,Control Mechanisms and the Relationship Life Cycle: Implications for Safeguarding Specific Investments and Developing Commitment,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.2.227.18735.pdf
2003,10.1509/jmkr.40.1.101.19130,10.1509/jmkr.40.1.101.19130,Interdependence and Its Consequences in Distributor-Supplier Relationships: A Distributor Perspective through Response Surface Approach,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.1.101.19130.pdf,22,doi,10.1509/jmkr.38.1.131.18832,,,2001,10.1509/jmkr.38.1.131.18832,10.1509/jmkr.38.1.131.18832,"Satisfaction, Repurchase Intent, and Repurchase Behavior: Investigating the Moderating Effect of Customer Characteristics",data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.1.131.18832.pdf
2003,10.1509/jmkr.40.1.101.19130,10.1509/jmkr.40.1.101.19130,Interdependence and Its Consequences in Distributor-Supplier Relationships: A Distributor Perspective through Response Surface Approach,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.1.101.19130.pdf,24,doi,10.1509/jmkr.38.2.170.18841,,,2001,10.1509/jmkr.38.2.170.18841,10.1509/jmkr.38.2.170.18841,In Search of Negative Customer Feedback: The Effect of Expecting to Evaluate on Satisfaction Evaluations,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.2.170.18841.pdf
2003,10.1509/jmkr.40.1.26.19131,10.1509/jmkr.40.1.26.19131,Incommensurate Resources: Not Just More of the Same,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.1.26.19131.pdf,6,doi,10.1509/jmkr.37.1.60.18718,,,2000,10.1509/jmkr.37.1.60.18718,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.60.18718.pdf
2003,10.1509/jmkr.40.1.39.19126,10.1509/jmkr.40.1.39.19126,Determining the Appropriate Depth and Breadth of a Firm's Product Portfolio,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.1.39.19126.pdf,42,doi,10.1509/jmkr.38.1.110.18830,,,2001,10.1509/jmkr.38.1.110.18830,10.1509/jmkr.38.1.110.18830,An Empirical Analysis of Firms' Product Line Decisions,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.1.110.18830.pdf
2003,10.1509/jmkr.40.2.115.19230,10.1509/jmkr.40.2.115.19230,A General Choice Model for Bundles with Multiple-Category Products: Application to Market Segmentation and Optimal Pricing for Bundles,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.2.115.19230.pdf,4,doi,10.1509/jmkr.37.2.259.18733,,,2000,10.1509/jmkr.37.2.259.18733,10.1509/jmkr.37.2.259.18733,A Hierarchical Bayes Model for Assortment Choice,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.2.259.18733.pdf
2003,10.1509/jmkr.40.2.115.19230,10.1509/jmkr.40.2.115.19230,A General Choice Model for Bundles with Multiple-Category Products: Application to Market Segmentation and Optimal Pricing for Bundles,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.2.115.19230.pdf,37,doi,10.1509/jmkr.39.2.228.19086,,,2002,10.1509/jmkr.39.2.228.19086,10.1509/jmkr.39.2.228.19086,Measuring Consumers' Willingness to Pay at the Point of Purchase,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.2.228.19086.pdf
2003,10.1509/jmkr.40.2.131.19224,10.1509/jmkr.40.2.131.19224,E-Customization,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.2.131.19224.pdf,5,doi,10.1509/jmkr.37.3.363.18779,,,2000,10.1509/jmkr.37.3.363.18779,10.1509/jmkr.37.3.363.18779,Internet Recommendation Systems,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.3.363.18779.pdf
2003,10.1509/jmkr.40.2.161.19222,10.1509/jmkr.40.2.161.19222,The Reciprocal Effects of Brand Equity and Trivial Attributes,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.2.161.19222.pdf,1,doi,10.1509/jmkr.37.2.203.18734,,,2000,10.1509/jmkr.37.2.203.18734,10.1509/jmkr.37.2.203.18734,Consumer Response to Negative Publicity: The Moderating Role of Commitment,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.2.203.18734.pdf
2003,10.1509/jmkr.40.2.161.19222,10.1509/jmkr.40.2.161.19222,The Reciprocal Effects of Brand Equity and Trivial Attributes,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.2.161.19222.pdf,15,doi,10.1509/jmkr.37.2.215.18729,,,2000,10.1509/jmkr.37.2.215.18729,10.1509/jmkr.37.2.215.18729,Impact of Product-Harm Crises on Brand Equity: The Moderating Role of Consumer Expectations,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.2.215.18729.pdf
2003,10.1509/jmkr.40.2.210.19223,10.1509/jmkr.40.2.210.19223,Specific Investments in Marketing Relationships: Expropriation and Bonding Effects,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.2.210.19223.pdf,52,doi,10.1509/jmkr.38.1.100.18835,,,2001,10.1509/jmkr.38.1.100.18835,10.1509/jmkr.38.1.100.18835,Misleading Heuristics and Moderated Multiple Regression Models,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.1.100.18835.pdf
2003,10.1509/jmkr.40.2.210.19223,10.1509/jmkr.40.2.210.19223,Specific Investments in Marketing Relationships: Expropriation and Bonding Effects,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.2.210.19223.pdf,56,doi,10.1509/jmkr.37.2.227.18735,,,2000,10.1509/jmkr.37.2.227.18735,10.1509/jmkr.37.2.227.18735,Control Mechanisms and the Relationship Life Cycle: Implications for Safeguarding Specific Investments and Developing Commitment,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.2.227.18735.pdf
2003,10.1509/jmkr.40.2.225.19227,10.1509/jmkr.40.2.225.19227,Multicriterion Clusterwise Regression for Joint Segmentation Settings: An Application to Customer Value,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.2.225.19227.pdf,5,doi,10.1509/jmkr.39.1.99.18932,,,2002,10.1509/jmkr.39.1.99.18932,10.1509/jmkr.39.1.99.18932,A Simulated Annealing Heuristic for a Bicriterion Partitioning Problem in Market Segmentation,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.1.99.18932.pdf
2003,10.1509/jmkr.40.2.235.19225,10.1509/jmkr.40.2.235.19225,A Comparison of Segment Retention Criteria for Finite Mixture Logit Models,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.2.235.19225.pdf,1,doi,10.1509/jmkr.37.4.410.18791,,,2000,10.1509/jmkr.37.4.410.18791,10.1509/jmkr.37.4.410.18791,Parameter Bias from Unobserved Effects in the Multinomial Logit Model of Consumer Choice,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.4.410.18791.pdf
2003,10.1509/jmkr.40.2.235.19225,10.1509/jmkr.40.2.235.19225,A Comparison of Segment Retention Criteria for Finite Mixture Logit Models,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.2.235.19225.pdf,5,doi,10.1509/jmkr.39.4.479.19124,,,2002,10.1509/jmkr.39.4.479.19124,10.1509/jmkr.39.4.479.19124,An Empirical Comparison of Logit Choice Models with Discrete versus Continuous Representations of Heterogeneity,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.4.479.19124.pdf
2003,10.1509/jmkr.40.2.235.19225,10.1509/jmkr.40.2.235.19225,A Comparison of Segment Retention Criteria for Finite Mixture Logit Models,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.2.235.19225.pdf,6,doi,10.1509/jmkr.39.1.87.18936,,,2002,10.1509/jmkr.39.1.87.18936,10.1509/jmkr.39.1.87.18936,"Hierarchical Bayes versus Finite Mixture Conjoint Analysis Models: A Comparison of Fit, Prediction, and Partworth Recovery",data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.1.87.18936.pdf
2003,10.1509/jmkr.40.3.249.19241,10.1509/jmkr.40.3.249.19241,A Model of Web Site Browsing Behavior Estimated on Clickstream Data,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.3.249.19241.pdf,4,doi,10.1509/jmkr.37.3.363.18779,,,2000,10.1509/jmkr.37.3.363.18779,10.1509/jmkr.37.3.363.18779,Internet Recommendation Systems,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.3.363.18779.pdf
2003,10.1509/jmkr.40.3.249.19241,10.1509/jmkr.40.3.249.19241,A Model of Web Site Browsing Behavior Estimated on Clickstream Data,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.3.249.19241.pdf,5,doi,10.1509/jmkr.40.2.131.19224,,,2003,10.1509/jmkr.40.2.131.19224,10.1509/jmkr.40.2.131.19224,E-Customization,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.2.131.19224.pdf
2003,10.1509/jmkr.40.3.268.19234,10.1509/jmkr.40.3.268.19234,A Temporal Dynamic Model of Spousal Family Purchase-Decision Behavior,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.3.268.19234.pdf,2,doi,10.1509/jmkr.39.3.336.19105,,,2002,10.1509/jmkr.39.3.336.19105,10.1509/jmkr.39.3.336.19105,Understanding the Role of Preference Revision and Concession in Group Decisions,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.3.336.19105.pdf
2003,10.1509/jmkr.40.3.282.19240,10.1509/jmkr.40.3.282.19240,Modeling Interdependent Consumer Preferences,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.3.282.19240.pdf,8,doi,10.1509/jmkr.39.1.1.18939,,,2002,10.1509/jmkr.39.1.1.18939,10.1509/jmkr.39.1.1.18939,Using Multimarket Data to Predict Brand Performance in Markets for Which No or Poor Data Exist,data\jmr_2000_2025\pdfs\2002\10.1509_jmkr.39.1.1.18939.pdf
2003,10.1509/jmkr.40.3.310.19238,10.1509/jmkr.40.3.310.19238,Measuring the Hedonic and Utilitarian Dimensions of Consumer Attitude,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.3.310.19238.pdf,13,doi,10.1509/jmkr.37.1.60.18718,,,2000,10.1509/jmkr.37.1.60.18718,10.1509/jmkr.37.1.60.18718,Consumer Choice between Hedonic and Utilitarian Goods,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.60.18718.pdf
2003,10.1509/jmkr.40.3.310.19238,10.1509/jmkr.40.3.310.19238,Measuring the Hedonic and Utilitarian Dimensions of Consumer Attitude,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.3.310.19238.pdf,14,doi,10.1509/jmkr.38.4.415.18910,,,2001,10.1509/jmkr.38.4.415.18910,10.1509/jmkr.38.4.415.18910,Understanding What's in a Brand Rating: A Model for Assessing Brand and Attribute Effects and Their Relationship to Brand Equity,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.4.415.18910.pdf
2003,10.1509/jmkr.40.3.321.19233,10.1509/jmkr.40.3.321.19233,Multivariate Analysis of Multiple Response Data,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.3.321.19233.pdf,33,doi,10.1509/jmkr.38.2.183.18849,,,2001,10.1509/jmkr.38.2.183.18849,10.1509/jmkr.38.2.183.18849,Choice Menus for Mass Customization: An Experimental Approach for Analyzing Customer Demand with an Application to a Web-Based Information Service,data\jmr_2000_2025\pdfs\2001\10.1509_jmkr.38.2.183.18849.pdf
2003,10.1509/jmkr.40.4.375.19385,10.1509/jmkr.40.4.375.19385,Understanding the Impact of Synergy in Multimedia Communications,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.4.375.19385.pdf,31,doi,10.1509/jmkr.37.1.88.18715,,,2000,10.1509/jmkr.37.1.88.18715,10.1509/jmkr.37.1.88.18715,A New Dimension Reduction Approach for Data-Rich Marketing Environments: Sliced Inverse Regression,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.88.18715.pdf
2003,10.1509/jmkr.40.4.375.19385,10.1509/jmkr.40.4.375.19385,Understanding the Impact of Synergy in Multimedia Communications,data\jmr_2000_2025\pdfs\2003\10.1509_jmkr.40.4.375.19385.pdf,33,doi,10.1509/jmkr.37.1.113.18717,,,2000,10.1509/jmkr.37.1.113.18717,10.1509/jmkr.37.1.113.18717,Controlling Measurement Errors in Models of Advertising Competition,data\jmr_2000_2025\pdfs\2000\10.1509_jmkr.37.1.113.18717.pdf
