pair_id,status,response_id,model,requested_reasoning_effort,returned_reasoning_effort,api_key_slot,citation_substance,relation_type,output_path,raw_response_path,error_path,input_tokens,output_tokens,total_tokens,error
10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.40.2.115.19230,ok,resp_06a55b3dd43c9eed0169dc125513108191ba69838d0699a198,gpt-5.4,xhigh,high,1,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.40.2.115.19230.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.40.2.115.19230.json,,17032,477,17509,
10.1509_jmkr.42.2.157.62287__cites__10.1509_jmkr.39.2.155.19084,ok,resp_09d81b24352f4fc80169dc12555a70819186f4672ca5a60475,gpt-5.4,xhigh,high,2,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.42.2.157.62287__cites__10.1509_jmkr.39.2.155.19084.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.42.2.157.62287__cites__10.1509_jmkr.39.2.155.19084.json,,18022,475,18497,
10.1509_jmkr.42.1.22.56887__cites__10.1509_jmkr.42.1.83.56959,ok,resp_0feb8bbb95cf0a130169dc12534ed48191a19824e0c81e5e16,gpt-5.4,xhigh,high,1,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.42.1.22.56887__cites__10.1509_jmkr.42.1.83.56959.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.42.1.22.56887__cites__10.1509_jmkr.42.1.83.56959.json,,8999,502,9501,
10.1509_jmkr.41.3.339.35992__cites__10.1509_jmkr.37.3.281.18781,ok,resp_0a020d336d0681a90169dc125255f08191a0ca605049c2f18d,gpt-5.4,xhigh,high,0,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.41.3.339.35992__cites__10.1509_jmkr.37.3.281.18781.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.41.3.339.35992__cites__10.1509_jmkr.37.3.281.18781.json,,20675,565,21240,
10.1509_jmkr.39.2.171.19089__cites__10.1509_jmkr.37.1.60.18718,ok,resp_05d6be23462241610169dc125142388191b5e0595da9acc289,gpt-5.4,xhigh,high,1,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.39.2.171.19089__cites__10.1509_jmkr.37.1.60.18718.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.39.2.171.19089__cites__10.1509_jmkr.37.1.60.18718.json,,24337,568,24905,
10.1509_jmkr.2005.42.3.266__cites__10.1509_jmkr.41.3.237.35990,ok,resp_0893882aca52aa6c0169dc12538280819190099cf5a8c54285,gpt-5.4,xhigh,high,2,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.2005.42.3.266__cites__10.1509_jmkr.41.3.237.35990.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.2005.42.3.266__cites__10.1509_jmkr.41.3.237.35990.json,,20516,553,21069,
10.1509_jmkr.2005.42.3.255__cites__10.1509_jmkr.2005.42.3.250,ok,resp_0a68f9e7dcb73b620169dc125142388191aa8f2f601d0d5f60,gpt-5.4,xhigh,high,2,substantive,other,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.2005.42.3.255__cites__10.1509_jmkr.2005.42.3.250.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.2005.42.3.255__cites__10.1509_jmkr.2005.42.3.250.json,,2876,594,3470,
10.1509_jmkr.2005.42.3.313__cites__10.1509_jmkr.40.2.131.19224,ok,resp_080ec676fdc319bc0169dc1255b3fc8191b6285d4107683d22,gpt-5.4,xhigh,high,0,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.2005.42.3.313__cites__10.1509_jmkr.40.2.131.19224.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.2005.42.3.313__cites__10.1509_jmkr.40.2.131.19224.json,,17940,506,18446,
10.1509_jmkr.2005.42.3.254__cites__10.1509_jmkr.2005.42.3.243,ok,resp_0d3743ca92b76e2c0169dc125141548191aff60232a87ede35,gpt-5.4,xhigh,high,1,substantive,other,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.2005.42.3.254__cites__10.1509_jmkr.2005.42.3.243.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.2005.42.3.254__cites__10.1509_jmkr.2005.42.3.243.json,,3388,598,3986,
10.1509_jmkr.40.2.235.19225__cites__10.1509_jmkr.37.4.410.18791,ok,resp_0a8a3ed5751ced2b0169dc12516ee881919614e0aca4c47f34,gpt-5.4,xhigh,high,0,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.40.2.235.19225__cites__10.1509_jmkr.37.4.410.18791.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.40.2.235.19225__cites__10.1509_jmkr.37.4.410.18791.json,,15084,596,15680,
10.1509_jmkr.42.2.210.62285__cites__10.1509_jmkr.39.2.214.19080,ok,resp_0c40966366a0220f0169dc1255a8fc81919cc7c8d9a085d9ce,gpt-5.4,xhigh,high,2,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.42.2.210.62285__cites__10.1509_jmkr.39.2.214.19080.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.42.2.210.62285__cites__10.1509_jmkr.39.2.214.19080.json,,15649,469,16118,
10.1509_jmkr.42.2.139.62295__cites__10.1509_jmkr.42.2.119.62292,ok,resp_00b8de53b1fd36130169dc125245508191b1d5b8ae36e6655c,gpt-5.4,xhigh,high,2,substantive,extends,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.42.2.139.62295__cites__10.1509_jmkr.42.2.119.62292.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.42.2.139.62295__cites__10.1509_jmkr.42.2.119.62292.json,,4713,565,5278,
10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.40.3.282.19240,ok,resp_02276281aeccf1160169dc12567f4c8191ae91adfc39d08ac8,gpt-5.4,xhigh,high,0,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.40.3.282.19240.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.40.3.282.19240.json,,16941,491,17432,
10.1509_jmkr.42.1.15.56888__cites__10.1509_jmkr.38.4.501.18907,ok,resp_0e39b6f8b71720eb0169dc1255d4dc8191bd800303561d9f04,gpt-5.4,xhigh,high,2,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.42.1.15.56888__cites__10.1509_jmkr.38.4.501.18907.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.42.1.15.56888__cites__10.1509_jmkr.38.4.501.18907.json,,14188,517,14705,
10.1509_jmkr.41.1.7.25084__cites__10.1509_jmkr.38.2.262.18848,ok,resp_0df8a030c34944ce0169dc12519a4c8191a710fddb8302fca3,gpt-5.4,xhigh,high,1,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.41.1.7.25084__cites__10.1509_jmkr.38.2.262.18848.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.41.1.7.25084__cites__10.1509_jmkr.38.2.262.18848.json,,20355,568,20923,
10.1509_jmkr.2005.42.4.406__cites__10.1509_jmkr.2005.42.4.399,ok,resp_0ee10a6b13f2a1d10169dc1254099481918b0ed3c8038a425f,gpt-5.4,xhigh,high,1,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.2005.42.4.406__cites__10.1509_jmkr.2005.42.4.399.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.2005.42.4.406__cites__10.1509_jmkr.2005.42.4.399.json,,7941,542,8483,
10.1509_jmkr.41.3.306.35985__cites__10.1509_jmkr.40.4.481.19386,ok,resp_05b92b2d5463c5f60169dc12551b208191925cc768ee63c360,gpt-5.4,xhigh,high,2,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.41.3.306.35985__cites__10.1509_jmkr.40.4.481.19386.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.41.3.306.35985__cites__10.1509_jmkr.40.4.481.19386.json,,28865,550,29415,
10.1509_jmkr.2005.42.3.358__cites__10.1509_jmkr.38.2.157.18847,ok,resp_03831c73a99fc68e0169dc1253300481919b9641eea30bc855,gpt-5.4,xhigh,high,0,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.2005.42.3.358__cites__10.1509_jmkr.38.2.157.18847.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.2005.42.3.358__cites__10.1509_jmkr.38.2.157.18847.json,,15225,550,15775,
10.1509_jmkr.42.2.139.62295__cites__10.1509_jmkr.42.2.129.62286,ok,resp_0349c5bb9c2de3f40169dc1252e4a0819195934f3ae3de7013,gpt-5.4,xhigh,high,0,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.42.2.139.62295__cites__10.1509_jmkr.42.2.129.62286.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.42.2.139.62295__cites__10.1509_jmkr.42.2.129.62286.json,,4769,590,5359,
10.1509_jmkr.42.2.139.62295__cites__10.1509_jmkr.37.1.60.18718,ok,resp_08f41a74cdea418e0169dc125215248191933cf16b06b7fc8a,gpt-5.4,xhigh,high,1,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.42.2.139.62295__cites__10.1509_jmkr.37.1.60.18718.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.42.2.139.62295__cites__10.1509_jmkr.37.1.60.18718.json,,4768,588,5356,
10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.38.2.197.18842,ok,resp_016d8894f510e3610169dc12535c848191aeeff9ef7b131ed5,gpt-5.4,xhigh,high,2,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.38.2.197.18842.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.38.2.197.18842.json,,17082,599,17681,
10.1509_jmkr.41.3.262.35993__cites__10.1509_jmkr.37.1.60.18718,ok,resp_042824291feb388c0169dc125565a88191a881ee1ee03c0d8f,gpt-5.4,xhigh,high,2,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.41.3.262.35993__cites__10.1509_jmkr.37.1.60.18718.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.41.3.262.35993__cites__10.1509_jmkr.37.1.60.18718.json,,13559,524,14083,
10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.38.3.298.18867,ok,resp_01119dcbe464f5a20169dc12564bcc8191a6ae496fea284017,gpt-5.4,xhigh,high,1,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.38.3.298.18867.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.38.3.298.18867.json,,17018,552,17570,
10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.38.2.262.18848,ok,resp_019e29a2a74707ec0169dc125538b481918d2eaf0d656378b6,gpt-5.4,xhigh,high,0,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.38.2.262.18848.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.38.2.262.18848.json,,16949,574,17523,
10.1509_jmkr.40.3.249.19241__cites__10.1509_jmkr.37.3.363.18779,ok,resp_024f10b3692cd2f20169dc1252e0408191b5fe19fd697d0cc9,gpt-5.4,xhigh,high,0,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.40.3.249.19241__cites__10.1509_jmkr.37.3.363.18779.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.40.3.249.19241__cites__10.1509_jmkr.37.3.363.18779.json,,32063,600,32663,
10.1509_jmkr.40.2.235.19225__cites__10.1509_jmkr.39.1.87.18936,ok,resp_05b9f294c62afbe20169dc125182fc8191b96753a7aa79eb05,gpt-5.4,xhigh,high,1,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.40.2.235.19225__cites__10.1509_jmkr.39.1.87.18936.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.40.2.235.19225__cites__10.1509_jmkr.39.1.87.18936.json,,15061,633,15694,
10.1509_jmkr.41.3.269.35989__cites__10.1509_jmkr.37.3.331.18780,ok,resp_060c4fef2fe052290169dc12528b7481919593dba6b1145d00,gpt-5.4,xhigh,high,2,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.41.3.269.35989__cites__10.1509_jmkr.37.3.331.18780.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.41.3.269.35989__cites__10.1509_jmkr.37.3.331.18780.json,,21442,592,22034,
10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.40.2.131.19224,ok,resp_01a31641cfe1c2d80169dc1255febc8191861d20897795463a,gpt-5.4,xhigh,high,2,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.40.2.131.19224.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.42.1.4.56891__cites__10.1509_jmkr.40.2.131.19224.json,,16980,560,17540,
10.1509_jmkr.39.4.391.19118__cites__10.1509_jmkr.38.4.399.18908,ok,resp_02ca636057d8d5b60169dc1251d9b08191a024f8c85ae37ddd,gpt-5.4,xhigh,high,2,mention_only,,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\judgments\10.1509_jmkr.39.4.391.19118__cites__10.1509_jmkr.38.4.399.18908.json,C:\Users\27497\Desktop\PaperKG_Final\data\jmr_2000_2025\citation_judgments\runs\ai02_full_judgments_one_pdf_note_three_keys_conc240\responses\10.1509_jmkr.39.4.391.19118__cites__10.1509_jmkr.38.4.399.18908.json,,28400,642,29042,
